hex_values,target_values
b'0a00790000000020104e5e4e754e5600004ebaffde4280601022300db00000000023c10000000052807201b2806cea42a742a74879000000004eb90000000042',m68k
b'22655265ed8d70332265104122655265f48f7033e6af06e322651041e18d703322651041f88f7033dcaf06e313d100e511d200e6822116d117d0222117d117d4',sh4
b'715e11e361f87123601c80e361f8711c8403611141188be361c8711e511141138be361c8711e521fe117320d89e361f8711c840362e361c8711e511b6123631c',sh4
b'6280fa20a0008728e0188738e018c620a000f620a000c6012004c620a000f820a000c220a00003000000c208600092102000c220a0009410200011000000b010',sparc
b'41008100000cdac02000a908b10000c02000a908c02000a9087cf9c81bc020009908c02000c908210000c020009908c02000a908c802a812210000c02000c908',xtensa
b'd432631225122312e30fd122623221526300e53221222102210cd00b40090000e0264f0b00090009000c0000003000000008000000000000002c0000001c0000',sh4
b'108538a010c4206000052ed5178410a277c4206000050102188410a16492102000c42060009410200011000000b0102000400000009012200081c7e00881e800',sparc
b'0f660f681b70e081e090e000d081e090e06e3f4fef740700f480e090e0880f991f919581959109462f572f481b590b842f952fa0e0b0e018964d915c91199784',avr
b'004330200450301000583020055030100058202009502010005820d0d2a738000058202000502010005820d0e25820200050201000a7280099502010005810d0',s390
b'a02101224022f6214801003f20a10322402101e14301583c442300e173620363404100434061012140410223404100234041002340a13d2040060020f446a43f',alphaev56
b'8928e0188528a01086108004c40ea0088528a00884108003c60ea0098410c002c4204000c40ee000c60a60018528a0088410c0028528a0108538a010c4204000',sparc
b'0024840000ac6200008c8200043c040000ac62000000003821000030212484000024020017ac6200000c000000000000008fbf00240000102103e0000827bd00',mips
b'89236643677336038b1362336116320e89e3620872e361d071226321541d521c510800336a1e3a436b2e3b04a00900e3610871126a115ba361b3621360236110',sh4
b'60000300000084106000c600a0108610200109000000c6212000c800600003000000c8206000c800a004c8206000c800a008c8206000c800a00cc8206000c800',sparc
b'740cba01000000eb05ba01000000b9bbffffff89c8f6ea66c1e80801d0c0f80489d1c0f90729c8b9160000000fafc129c2660fbec2f7d00fb7c04489c1d3e083',x86_64
b'0000017a5200017c0e011b0c0f600000002000000018000000000000004400448d0b8e0a8f09460ec0016acfcecd0e6000000000000000000000000000000707',s390
b'c42cd52ce62cf72c082d192d00d004f400c0a980ba80cb80dc80ed80fe800f8118852a2d3b2d4c2d5d2d6e2d7f2d802f912fa0e000d001f004f400c0a984ba84',avr
b'0044acfeff03240000023c040043ac0000023c0c00458c0000023c000045ac000044ac000043ac0000033c0000638c0000043ce0ffbd27213000002138000000',mipsel
b'f04020813181309300002093000001968230910504f0809100009091000090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d0',avr
b'00e6ac040040ac0000068d4c00678c0900c630000006ad040040ac0000e68c4c00688c0900c6300000e6ac040040ac0000068d4c00678c0900c630000006ad04',mipsel
b'0f104dfcf30f100500000000f30f59c1f30f1055f8f30f100d00000000f30f59caf30f5cc1f30f100d000000000f54c10f2e05000000007607f30f1045fceb0a',x86_64
b'0cd04de20030a0e10c100be5b6304be1f6305be1000053e30e0000ba0c301be51f0053e30b00008af6205be148109fe50c301be55133a0e1030052e1050000ca',arm
b'5825018f01e400e44b211fd017351fd42901122900e5726112612223f8e300e111121bd112221bd11261322101e31ad1302600e6122819d1322119d132213221',sh4
b'24840000ac4300000c000000000000008fbf004c8fbe00488fb700448fb600408fb5003c8fb400388fb300348fb200308fb1002c8fb000280000102103e00008',mips
b'27fd309580819181809100009091000061e08627909300008093000060e070e07093000060930000509300004093000050930000409300004aef5fef50930000',avr
b'61216300e30ed432210ed132210ed33063322121622d6222210cd222632152322122210b40090000e0264f0b000900090036000000320000001c000000000000',sh4
b'022140411420402100e173810738481f04ff47a1352040630020f4a0d500400000fd26670000e40c00e3b300003d270000fe2f000039a4000057a4000042a000',alphaev56
b'e3bfa003000000c200600084103fffc020400003000000c420600003000000c400600003000000c420600005000000c400a000c420600005000000c400a000c4',sparc
b'00004ab90000000067424280538072f9b28066f823c10000000023fc000000000000000050f90000000023fc37d7a1b70000000042390000000023fcddafe07d',m68k
b'00000000eb254863f04863ca0fbe8c0e00000000890d0000000083c001eb05b80000000085c07ede83c20183fa027eefc705000000000d4900000fb605000000',x86_64
b'00503010005830d0fa5820d0f658b0d0f25830300050301000482020005420d10a502010005820d0ee5830d0ea58c0d0e65820200050201000a72898b4502010',s390
b'60208416a00080a0000103049e948210608192402000c22200004000000090100002e2062000400000009210001107000000c800e00003000000c800e000c407',sparc
b'20400018545820d21e5830100050304000583010045030400058301008a71a000c503040001912a774fff15810d21aa74800005820d216a7085519a738000050',s390
b'ea700046004e5e4e754e5600002f024ebaff8220390000000023c0000000004280601022300db00000000023c10000000052807202b2806cea23f90000000000',m68k
b'b900000000600001e472022d41ffd442aefff46010202efff42dbc9a924c000cd852aefff44aaefff46fea42b900000000605842aeffe82d7c00000000ffe42d',m68k
b'0042a742a74879000000004eb9000000004280242efff8262efffc4e5e4e751039000000005200207900000000243900000000c28223c10000000042b9000000',m68k
b'000043a4000042a4000042a01f04ff47000025b00170204004088244000099b022f621480100e143a2554240120040f4000043a408004628000043a40000d7b6',alphaev56
b'6d10302efffe48c0222e000ce3a820006004302efffe4e5e4e754e56fffc202e00083d40fffe4a6efffe6d2c701fb0ae000c6524306efffe203c00007fff222e',m68k
b'd500000000440e1002d00e0800c700000000008b1285d2750b488b15000000008b128910488b050000000031f6bf00000000c705000000000000000048890500',x86_64
b'6c6c780a0048000038e0fffb900100143c6000003863000090e8000080aa000480ca000890a9000038a0000090e9000090c9000080ca000c90c9000080ca0010',powerpc
b'0000008cdc5280600242804a806fea52817002b0816cf2242efffc2f0245fafdf64e922f084ebafddc23c800000000282effe02639000000002a2efff82f3ca6',m68k
b'04008318218c6400003c030000ac64000024420001284300021460fff70002208010000008000010213c0300002463000000831821946400003c030000ac6400',mips
b'24240082101c00bfaf0000043c0000093c0000063c1400638c000022253400cd8c0000033c2000638c30008c8c04004b8c08004a8cffff03240000023c000004',mipsel
b'1a011b0d1e001800000018000000000000004c00000000440e10459a0249da0e000000405b6b0000ba2700005ea70004ff470000bd231000de230180fa6b0000',alphaev56
b'00fff283aa0020910a000493a9000093c900009109000093e900009189000090090000916900009089000090e900004cc6318248000001800100243860000083',powerpc
b'a0839e3fa093023923e20ce092e50c3023e0083083e300308ee50030a0e300308ee5043092e54260e0e3000083e56550e0e30c30a0e11240e0e36fe0e0e310c0',arm
b'678c000000000200e01800000000140080ac1800678c1400848c0000033c000067ac47f10724000067ac000064ac0000043c000066ac21380000213000000000',mipsel
b'20600084103ffac4206000841020a8c4206000c4206000c4206000c416e000c4206000c4076004c4206000c44f6008c4206000c417600ab01020009210200094',sparc
b'0044ad0000063cb50004240000c524000049ac000044ac000048ac000047ac000043ac0400a48c0800a390023e0400001a030002220400251867000000c98c04',mipsel
b'1bc80cc02000b908910000c02000c908c0200099080c8cc02000c908c020009908c020009908c02000c908c020009908c02000980af10000c020009908910000',xtensa
b'c0000000004a1057c24882327cff0792c2324952892409808223c0000000004a1057c24882307cff0790c2304852882408848023c20000000010390000000010',m68k
b'00082486000c00031c008c89000c8cc8000400031c033c040000ac43000000003821240300020000302124840000ac490000afbf001ca4a30018ac4800000c00',mips
b'0000000000000043acf8ff0324000043ac211800000000053c0000a5242120400003000724c0100300211045000000468c00000000000086ac0400428c000000',mipsel
b'18394affff914900189066000040beff2c83c9001c910900042f9e000083a9001891090004409e01502f9d00008149000c409e01508149000c91090004910900',powerpc
b'1261126110611821ffe11a61170264932d6239d51a01123300e32901270137d21a0022611b2036d101cb3221322102e1102815e333d10a233222126132d133d2',sh4
b'00000000488b150000000085c00f94c20fb6d281ca64d6000039c20f94c00fb6c08901c70500000000e3ffffffc70500000000050000008b0500000000890500',x86_64
b'00014800448b0d8c0c8d0b8e0a8f09460ec00103010ecfcecdcccb0e600000fffb56403000504010005800200050001000580020045000100058002008500010',s390
b'00000000006400448d0b8e0a8f09460ec0010242cfcecd0e6000d04e5820d04a0de15840f098a728000098dff09407f407070000000000000000000000000000',s390
b'00809300008091000090910000909300008093000080910000992787fd9095909300008093000080910000992787fd9095909300008093000080910000992787',avr
b'bd2f119601900d926a9501f466e0ec2ffd2f3196ac2fbd2f179601900d926a9501f466e0ec2ffd2f3796a02fb12f01900d926a9501f46fef7fef10920000e091',avr
b'419d001c813f00082f890000409e0074813f000c2f890000419e0068813f00102f890000419d005c813f00102f890000409e0010813f00142f890000409e0044',powerpc
b'00009809c020009908910000a21900a0a0f4c02000a908a2190180aa23c02000a908a20904a0a074c02000a908c020009829c020009908c10000d10000a10000',xtensa
b'2000a908c020009908a10000c02000a908c02000990892a0ffc0200099080c99c020009908910000c020009908910000921900809923c020009908910000c020',xtensa
b'0000000042804cee041cfff04e5e4e75427900000000227900000000558923c90000000042b90000000042414280208026390000000048c12001c08378f64c40',m68k
b'000042a00200e243000041b0f8ff5f20000041b000005d240000422802f05f44000041b08bff5f24d5274220000041b000405b6b0000ba2700005ea70004ff47',alphaev56
b'b7deb780e090e09a83898380910000909100009a8389838091000090910000809100009091000090930000809300001f921f921f921f921f921f921f921f9280',avr
b'082403fffeac440000ac4300003c040000ac430000ac430000ac430000ac430000ac430000ac470000ac460000ac450000908500042483000400052600000426',mips
b'42a74ebaff944fef00142f002f390000000030422f084879000000004ebaff5e4fef00102039000000002f08b0835fc049c044802f0048790000000030432f08',m68k
b'f0900000d090000085e0e0e0f0e0ac2fbd2f119601900d928a9501f4009100001091000020910000309100004091000060e070e08ded90e000d0009701f400c0',avr
b'0000c800e000c206e000c027600083286018c02080008338601805095e498410a13a80a08001ba603fffba1f400480a7600002800047fa20e00003000000f800',sparc
b'00a908910000920900909074c020009908c02000a9080c08060300a10000910000c02000a9091b88a618ef0c080605009100009098a0c02000a809910000c020',xtensa
b'0300e373000061b0050062280300e373000061b0060062280300e373000061b0070062280300e373000061b0080062280300e373000061b0090062280300e373',alphaev56
b'24a008c216e01e1f00000009000021e604a004c403e0008210201e8811238f82007fff8728601080a0e00012bffffd84188004c423e00007000000c808e000c0',sparc
b'4900003d00000090e900003c6000009421fff038a00000816800003d0000003888000090010014914400043d40adf6614a285838c00000386300009169000090',powerpc
b'00910a000081090008910a00008109000c910a0000a9090018910a000039000008910a00003d00e0d66108f038910a000081290004912a00004cc63182480000',powerpc
b'4aae00086f164aae000c6f10203c7fffffff90ae000cb0ae00086d264aae00086c164aae000c6c10203c8000000090ae000cb0ae00086e0a202e0008d0ae000c',m68k
b'0000000031d0668905000000008b0500000000c9c3554889e548897de8488975e08955dc894dd8c745fccdd98efdc745d800000000eb10488b45e88b10488b45',x86_64
b'6ca101000c2400000b3c20006ca10000063c01000b24000043ac1800ca8c00004bac00000b3c04008980240063ad0000043c022c033ce0ffbd2700004aac2130',mipsel
b'0000017a5200017c0e011b0c0f600000002000000018000000000000004400448d0b8e0a8f09460ec0016acfcecd0e6000000000000000000000000000000707',s390
b'00000000223900000000223900000000223900000000721d23c10000000013fcfff400000000120549c1b2856d0001d84a0556c349c34483327cffe3d3c549c6',m68k
b'1062000b0000000087c3000887c2000c0062001a004001f400001010000010120002140000021403100000020000000087c2000803c0e8218fbe000427bd0008',mips
b'0012968d919c911397909300008093000014968d919c911597909300008093000016968d919c911797909300008093000018968d919c91199790930000809300',avr
b'3940000a9149000c814900043940ffed914900102f880000409e00203d200000392900008149001839090004910a00003940ffff9149000c3d20000039490000',powerpc
b'0000233160400000e7a40000653401007f240000e6b30138214477eb6320000004a1000067b0000022b0000064a000003d2409009f200000c6a00300e3430000',alphaev56
b'ac48003c3c020000ac4700203c0200008c4200108d4a00288c4700003c02000028e800eb8c470000ac60003c28e70001010738263c080000ad070004000a5fc2',mips
b'1737e28f00e2017301e11633da8f00e24261126104922221426112610b00126008ff090074000000100000000c0000003800000000e209d12221f2e208d105a0',sh4
b'5010005800c00058b0d13218525040100054503000a70a0001500010005820d12e50503000a7480000a73800005000c000505010000deb5840f098a728000098',s390
b'9808b099a0a909c0200098081b99c020009908c020009808a639e10bcc9c0cf902c02000e90dc02000980da639ce46faff210000c0200028020c082100008902',xtensa
b'007c00000000480e104d9a0249da0e000001f03f4400001d26000023381104ff470000c4b0000010220000232800007da700005eb7000045b001f03f44000024',alphaev56
b'900f90df91cf910895cf93df9300d000d0cdb7deb79a8389837c836b838b819c81992304f08b819c81809704f489819a810b8000c0969587950a9402f400c089',avr
b'2f00e7962f00e8a62fffe6b62f224f23d124da126224db24d925d2236322600188008b12651265126512659260b2648213ffc8822a6a6542607827092552246a',sh4
b'882904990fc02000281e890a0c020b7756c7fcb801a8114100000bbba2ca13b904b901a9117cd4471b122811a8416c582abac2c21cb2cb1c1c3786e8ff410000',xtensa
b'9361003c9381004093a1004493c1004893e1004c39000000480000305509083c38e100087d274a1438e0ff927ce951ae394a000148000008394000002f8a0001',powerpc
b'000090e90000910900009109000090e90000910900009109000090e9000091090000910900003900d5d69109000039003a23988a001090ca001438c000009109',powerpc
b'23c300000000600c1039000000007401200860ce20790000000030bc2b1a317c40d60002428132390000000023fc000000fc0000000020790000000022504290',m68k
b'000041f9000000003039000000000a4000f8222a00043640200b9081720180810c80000084b653c049c0448022290008b38081b900000000428010105280e588',m68k
b'2000009149000048000030814600002f8a0000409e00343d400000394a0000810a000861080001910a0008392900013d400000912a00003d200000812900002f',powerpc
b'810000b809a819c02000b908b829c02000a908a839c02000b908b10000c02000a908e859c02000b908c02000e908c10000d10000810000a100000c02b26904e0',xtensa
b'649400000000ffff8430000044ac000040ac53320424000044ac06000424000044acf39a043c2c928434000044ac2000638c00000000000043acffff03340000',mipsel
b'ffffffff090000000c31e4e22c41036200422a32283122d227011a01183038911730028f00e21fd121111fd112621fd1126118210989f360027001850d6019d1',sh4
b'5a00087ee36ff66e0b000900e62ffc7ff36ee361c4714f11e361c4711f520ad110320589e361c4711f511b6103a00900e361c4711f515a410df11df15a00047e',sh4
b'4f096ce125d1910000a809c02000a9089819c0200099089100009809c020009908910000a809c02000a9089819c0200099089100009809c020009908c10000d1',xtensa
b'6228627b222f62222123d24221206222d42c62222100e2222116d2822121633d6332212185022122850d621cd022211cd2222109e22221189222211ad2226222',sh4
b'a4150043000021a40000c5a00208824400003d24000057b00600e643000056a00000bd240000852b0000bd24020882440000a530000056b00000dd26000059a0',alphaev56
b'0000000000c70500000000000000004863050000000083f8017f238d5001488d0440488b3d000000004863d20fb68402000000008907ff0500000000ebd18935',x86_64
b'bfa00300000084103fffc4206000c4206000c4206000c020600005000000c400a000b01020009210200094102000c420600011000000400000009012200081c7',sparc
b'800021e8c0030400be8f0800bd270800e00300000000f8ffbd270400beaf21f0a0030800c4af0c00c5af1000c6af1400c7af0c00c38f1000c28f000000001800',mipsel
b'05030000008210001d10bffff284102003053ad3238410a30dc4206000070000008410e000c600e000c6206000c600a004c6206000c400a008c4206000921020',sparc
b'0f1f4000488b0500000000832001486315000000004889d048c704d5000000000000000083e80185c089050000000079d30fb735000000000fb7c08b0d000000',x86_64
b'e33221606300e63c633221226332212153225232212221526200e522210b40090000e0264f0b0009000efa09001800000008000000040000000c000000140000',sh4
b'17e6c22322070042a0ff38170003404030b127231232070028170012400023a120207406010000002207001df00000003661007d0139172247002817f6c22122',xtensa
b'e50800000a0010d2e50010a0e3040092e5001080e50100a0e3000083e5080092e5001080e50c1092e5001093e578009fe5041083e51010d2e5ff1001e2041083',arm
b'309300002093000090930000809300001092000010920000809100009091000090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f93',avr
b'0023fc176b0f730000000023fc176b0f730000000023fc176b0f73000000001039000000000280000000ff23c00000000042a742a74879000000004eb9000000',m68k
b'00d0862f972f00c089819a8126960fb6f894debf0fbecdbfdf91cf910895cf93df9300d000d0cdb7deb79a8389837c836b838b819c81992304f08b819c818097',avr
b'014054e2001082e5041093e50c3083e2001082e5041013e5001082e5f6ffff1a0020a0e30030a0e314009fe5feffffeb0400a0e11040bde81eff2fe100000000',arm
b'd1125820d10e50301000a738db755030100058202000502010005820d10a50201000a728007150201000a7283177502010005820d106502010005830d1065820',s390
b'880001409dffc838e700014800000838e000002f870001409dffe438c600012f860001409dffec3d20000039490000810900003d200000910900003900fff691',powerpc
b'43000095a30004248400003063ffffac43000094a300023063ffffac4300000c000000000000008fbf001c8fb000180000102103e0000827bd00203c02000024',mips
b'b300003d2402f05f4403007f2002304040faff1f2102f05f4400001d2700004438000045200000c6a4000018330000dd2400001d260000e6a600007da7000007',alphaev56
b'023c1400428c1c00bf8f000000000800e0032000bd270000023c1a00429400000000c02002008018040023186400c02103002118640023106200401802000000',mipsel
b'410df11df15a00047ee36ff66e0b0009000080e62ff87ff36e43635362e361e87133601e81e361e87123601c81e361e8711e8503611541138be361e8711c8503',sh4
b'a0e104019fe5feffffeb0030a0e1030054e1340000cafe305be1000053e30a0000daf0315be1000053e3070000caf0415be1fe305be10310a0e1d0009fe5feff',arm
b'b06c10005810506648101004a72800ff14214810b07e54105062892010005810505e5810100058101000583010001723502010005810b07818215840b0b898bf',s390
b'742043c032271c0c1237a4010c022020743d0222172a32273128e72043c00c130c024023832020744d02210000221200a032112100002a530c130c0250238320',xtensa
b'a5da503c04000027bdffe0ac6500002442ffff2405ff88000038210000302124840000ac650000afbf001cad020000ac6200000c000000000000008fbf001c00',mips
b'a1090032910a000081090048910a0000a909004c910a0000a129004e912a000038a0000038c000003c600000386300004cc63182480000013860000080010014',powerpc
b'00909100009093000080930000809100009091000090930000809300001f921f921f921f921f921f921f921f9280e090e09f938f9300d08db79eb70a960fb6f8',avr
b'1a0010a0e384319fe5081083e5010050e10030a0130310a0110800001a0130a0e1093083e23f0053e3fcffff1a3fc0a0e358119fe508c081e50110a0e3ffffff',arm
b'908700009109000039001b9a886a0016906900003c6000009109000038630000910900009109000039000002910900003d00ac4661086b2a9109000090a90000',powerpc
b'8b104883c0088915000000008b50fc483d0000000089150000000075e3508b050000000031f6bf0000000089050000000031c0c70500000000ce105cd6e80000',x86_64
b'400600e6430200c0f401009f20f7ffffc3010080e4040022b0000063a000005d240100e14300001d26000062b01104ff47000022b08c9b3f2488c5212000007d',alphaev56
b'000000017a5200017c0e011b0c0f600000002400000018000000000000005c00448c0c8d0b8e0a8f09460ec0017acfcecdcc0e60000000a728000098cff09007',s390
b'e1013043e2003082e550309fe5081092e500c083e5000083e50800a0e3021001e2000083e5081082e5002092e5002083e52c209fe5002083e5001083e50020a0',arm
b'29082100009809c0200028027cfac020002908210000c10000c020002802d10000c0200029080c02c020002908c020009908910000c02000a9089809a10000c0',xtensa
b'00008093000080910000992787fd9095909300008093000080910000992787fd9095909300008093000080910000909100009093000080930000809100009091',avr
b'660f2e45f07450f20f104df8f20f100500000000f20f59c1f20f1055f0f20f100d00000000f20f59caf20f5ec1f20f100d00000000660f54c1660f2e05000000',x86_64
b'206000c8012000c8206000c6206000c400a008c420600005000000c400a000c420600084103ffcc420600005000000c400a000c420600005000000c400a000c4',sparc
b'00e0264ff66af6690b00f668126207701262622512629aaf0788150a0000000008000000800000001400000000000000449f1e3404000000a98d848104000000',sh4
b'4800093c0800008d080038ada000008d0800008ca800243c0b0000ad0400008cea006c3c080000004020211140000a2508004e8862004e8cc90068990200032c',mips
b'1824a5000128a3ffe91460fffa3c0400001000000500053600286400021480fffe2463000100053600000636033c0443253484c53f00c4001800001810000321',mips
b'00413022764048070040f40000413022764048040040f40000413022764048010040f4000041300000413000003d241f04ff5f00001d2600007da72276404811',alphaev56
b'00000400808823c02000890a810000c0200088080c1aa908810000a808921900809923810000c020009908910000c020009809c020009908c02000a908c10000',xtensa
b'1000000000017a5200017c0e011b0c0f600000002000000018000000000000004800448d0b8e0a8f09460ec0016acfcecd0e6000000000000046db5052000000',s390
b'000032e1af320000003800000054000000440000004c0000004c11000000fffffffc00000002fffffff823afc37186e52d8c3c0300008c630030ac4300002403',mips
b'00101842a75800008e4000201d4111158810001f5010c0005810d2a6a7280000502010005810a0041211a7840005181a581010045810d2a2a728000150201000',s390
b'3c030000946300143063ffffac4300003c0300008c630004ac4300003c0300008c630000ac43000000003821000030213c040000248400000c00000000000000',mips
b'b06c4230b06b18c45050b0645060b060a71800004010b080a718fffe5010b084a71800005010c000a7f400145810d086d208b07710004310b07e5410d0821211',s390
b'4e5e4e754e5600002f032f02262e00084c2e38000014242e00104c2e2800000c2043d1c2262e000c242e001422034c021400d1c020082040224120082209241f',m68k
b'2482e1002081e500e081e500c081e5000081e528c093e52c0093e50020a0e3000ca0e12cc480e10030a0e33c009fe500c081e5feffffeb0400a0e17040bde81e',arm
b'04f480910000909100008091000090910000019690930000809300008091000090910000039704f02150310901f482e090e09093000080930000909300008093',avr
b'eb0cb800000000eb05b80100000009050000000083c20180fa390f864cffffff0fb6c2c3b800000000eb1183c201eb05ba0000000085d27ef283c00185c07ef0',x86_64
b'0900432c0600232ce00ce54800009d24420c4548000084207c05e548020440444104254800001d260900433c01043c440600233c00005d240000a2a4580004a0',alphaev56
b'28c0200039053838c0200029052848c0200039053858c0200029052868c0200039053878c0200029052888c0200039053898c02000290528a8c02000390538b8',xtensa
b'e5080083e5180092e50040a0e3080083e50900e0e3084083e5080083e51c00d2e50110a0e3080083e5ff00a0e3080083e5080083e5080083e550009fe5081083',arm
b'1189e361c8711f5118210c89e361c87110d211d41f550b4209000362e361c8711e5117320989e362c872e361c8712f521e5117021a0103a00900e361c8711f51',sh4
b'20600005000000c408a0008528a0188538a018c4206000c020600005000000c408a0008528a0188538a018c42060009210200094102000110000004000000090',sparc
b'd215d0216215d42d62222114d22262222114d22262222113d2222100e2222102e222210f92222110d22262222110d2222110d22221ffe222210b40090000e026',sh4
b'0000d90a0c4ac02000a908a10000c02000b908a29a00d80dc02000a908c02000c9089209000c9e909074c020009908c02000e908a10000c02000d908d1000098',xtensa
b'4be505205be506305be5023063e0ff3003e20300a0e100d04be204b09de41eff2fe104b02de500b08de20cd04de20030a0e10120a0e105304be50230a0e10630',arm
b'00470e104a9a0247da0e0000000022b00100e14300005d240000102200005eb7000022b000405b6b0000ba2700005ea70004ff470000bd231000de230180fa6b',alphaev56
b'2c0084240000033c0000053c14004224e0ffbd270000063c4400a98c0c00988c08008f8c0c00488c10006a8c4800c0ac1c00bfaf1800b0af2160000021580000',mipsel
b'e204b09de41eff2fe104b02de500b08de20cd04de20030a0e10120a0e105304be50230a0e106304be505205be506305be5023063e0ff3003e20300a0e100d04b',arm
b'fc6c16102efffe49c0122efffc49c1748094812202b2806e0c122efffe102efffcd0016004102efffe241f4e5e4e754e56fffc2f02222e0008202e000c1d41ff',m68k
b'b7400a89050000000075a94883ec08c7050000000007000000c70500000000ffffffff0fbf050000000031f6bf000000008905000000000fbe05000000008905',x86_64
b'2e00124e5e4e754e56000048e73800202e0008380074064ab90000000066062239000000004a44660660265280600242807202b2806cf4203900000000207900',m68k
b'27bdffe010000009afbf001c70a2280210a0ff873c0700003c0300009062002c244200011000ff81a062002c3c020000ac4b00003c0300008c630030ac430000',mips
b'ea42aeffc61d7cff89fffb3d7c0004fff82d7c00000000fff470fc2d40fff01d7c006dffef42aefffc600e202efffc3dbc4ab40ac052aefffc7202b2aefffc6c',m68k
b'08600b2718840c631984284317d128407b23126118403b200222122210d113d0126112220dd1126112220b40090000e0047f264ff66bf66af6690b00f6684c00',sh4
b'eb14e094e51c2094e51830d4e5000092e500005ee303e0a0c101e023d2c0309fe532c0a0e3003023e0003082e5143094e50050a0e3020953e3a8309f15fc60a0',arm
b'10001913000000921260007fffffc1913a2018961020f7941000089210001a7fffff5c9010001b7fffff54d20760009607bffe9410001c7fffff4e9207bffdd4',sparc
b'9908910000c020009908b10000c02000980b00a911c02000981b9090f5a09920c020009908c02000981b00a911c02000982b9090f5a09920c020009908910000',xtensa
b'3c600000386300008be7000893e900009169000080e7000c90e90000908900009089000088ea001890e9000091890000814a001c914900003d408eee614ad547',powerpc
b'0004781a011b0d1e001800000018000000000000005c00000000480e10459a0249da0e000000005eb71104ff47000041b00000102200405b6b0000ba2700005e',alphaev56
b'ac01000324000040ac000043ac000044ac0000033c040063900000043c001e0300031e03002138000000008424000043ac0000000c000000001c00bf8f211000',mipsel
b'00043ce0ffbd270000033c0000053c2b100200213000002138000000008424000060ac1c00bfaf0400a0a0000062ac0000000c000000001c00bf8f2110000008',mipsel
b'61c8711e5123631d4333611d6105a00900e361e8711e8503611d615a410df11df15a00087ee36ff66e0b000900ffff0000e62ff87ff36e4362e361c8715e11e3',sh4
b'8c46000424057dd6240400fa0c00000000000000ae0200003c020000ac40001c2402003f8fbf001c8fb0001803e0000827bd002027bdffe0afbf001c0c000003',mips
b'3150a0e1125e85e10000004a525c85e15260a0e11c204be2060092e8010055e10220d6e0090000ba1c204be2060092e820001be520e040e220c060e21240a0e1',arm
b'670c3772660870715718886221722110d2f68f336701e110d0122200e50fd100e60fd410611c6112220b40090000e0087f264f0b00090018bf28000000040000',sh4
b'503010005820200850201000a7380000a74800005820d0de5810d0da0de1a72800005840f09898dff09407f40707000000000000000000000000000000000000',s390
b'c207a04880a0601f1880000901000000c217a0448328601085306010c207a048833880011080000301000000c217a0448328601083306010b010000181e80000',sparc
b'002f052f084ebafd9a4fef00282f0820390000000030330a0002800000ffff2f004879000000004ebafd444feffff4224f22eeffd822eeffdc32aeffe02f084e',m68k
b'fffc49c14c41080120006004102efffe4e5e4e754e56fffc2f02202e00081d40fffe4a2efffe6d304aae000c6d2a701fb0ae000c6d22122efffe49c1707f242e',m68k
b'a71a0001a71e0001a7c4fff15810d0fa582010005810d106502010005820d0f658202000502010005820d0f258202000502010005820d0eea7380000bf332000',s390
b'000018000000000000007c00448d0b8e0a8f09460ec0010252cfcecd0e6000200050201000a7380000a74800005820d05e5810d05a0de1a72800005840f09898',s390
b'8b0d000000004883fa0c75e683c006c6050000000000890500000000e97bffffff5289050000000031f68b0500000000bf000000008905000000000fbe050000',x86_64
b'3034d22723632207009c22220704ccd232070422070042af802024d227234a22070056420122070416e20032070022070442af802024d227232f220700dc9222',xtensa
b'00203c020000240300ffac430000ac400000ac4000003c0300009463001800031c0000031c03ac4300008c830014ac4300003c03000080630011ac4300003c03',mips
b'2f5202212221305224d0222131522221406223d42c6222216262222161522221625200e6222172622221526200e522211c9222210b40090000e0264f0b000900',sh4
b'0701f460e0862f90e04091000050910000642f752f00d0482f592f8f819885a82fb92f8d919c9161e08417950704f060e0462f50e08d819e81a82fb92f8d919c',avr
b'08a10000b929c02000a908a100000c02c02000a908a809c02000a908a819c02000a908a839c02000b908c02000a908a849c02000a908a859c02000a908a869c0',xtensa
b'00c58f1000c48f000000000618850003000010000000000800c28f0c00c38f21e8c0030400be8f0800bd270800e00300000000f8ffbd270400beaf21f0a00308',mipsel
b'470a00e0c3013020400100e0c30104ff47fcff3fec023040400100e0c30204ff47a13d4040f9ff3ff403306040fbff7fec0404ff471e00e0c3013020400100e0',alphaev56
b'bdffe0244200608cc3004c3c090000afbf001cac820000240200013c0d0000ad2200488c62000025a600508cc30004384200143c0b00003c040000ac8200688c',mips
b'0a0002390000f780c7000038c000fc908a001490a9000090c9000038c70000908900009109000091090000910900003d00996f6108cd4d9109000090a9000038',powerpc
b'00a96a002891690000a96a002a91690000a968000691690000a968000891690000a908000a910900003d0053a16108071f910900003900a71891090000390000',powerpc
b'0a00f6b8f3951fe77d4e5e4e754e5600002f024ebaffdc20390000000023c00000000042b900000000428260322002d080d088d080d08120300db00000000023',m68k
b'ebd731d257b853accbb931fff7f785d2740d89f025b58a750a8905000000008b0500000000c70500000000a6ffffffbf000000008905000000008b0500000000',x86_64
b'0c90a9000090c9000080ca001480aa0010808a000490a9000038a0000090c9000038c00000814a0018914900003d400000814a000091490000908900004cc631',powerpc
b'894900009001001460e73de8880900003d200000810400043c60000090090000394000016108427890e90000910400043960000390e900003800000090e90000',powerpc
